n;Validation Engine;serialNumber;val start;oph@start;starts@start;Asset ID
0;POLYNT - 2 (1145166-T241) --> Sept;1145166;09.12.2016;0;0;103791
1;REGENSBURG;1175579;22.08.2016;0;0;106622
2;ROCHE PENZBERG KWKK;1184199;22.12.2016;0;0;108532
3;ECOGEN ENERGY SYSTEMS BVBA;1198719;31.03.2017;0;0;110311
4;BMW REGENSBURG M3;1243360;28.10.2012;0;0;157181
5;REGENSBURG;1243362;04.07.2011;0;0;157701
6;ABINSK;1250575;03.09.2019;0;0;156120
7;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;15.10.2018;0;0;158705
8;SOTERNIX RENOVE;1310773;12.04.2017;0;0;109063
9;BMW MÜNCHE;1319138;01.01.2020;0;0;126449
10;BMW MÜNCHE;1319157;01.01.2020;0;0;126402
11;BMW MÜNCHE;1319997;16.09.2019;0;0;117598
12;BMW MÜNCHE;1320022;16.09.2019;0;0;117551
13;BMW MÜNCHE;1320030;16.09.2019;0;0;117550
14;BMW LANDSHUT 4.10;1320072;09.01.2019;0;0;117617
15;BMW LANDSHUT M1;1320090;07.01.2019;0;0;117510
16;BMW LANDSHUT 4.10;1320114;09.01.2019;0;0;117547
17;LES COURONNERIES;1325927;02.11.2017;0;0;113808
18;DALOMA;1339812;23.11.2018;0;0;116255
19;GAZ DE LACQ;1345851;31.10.2018;0;0;117227
20;BMW DINGOLFING 2.4;1352268;11.10.2019;0;0;118223
21;BMW DINGOLFING 2.4;1352323;10.10.2019;0;0;126032
22;FRONERI - FERENTINO;1361965;19.07.2019;0;0;126008
23;ABINSK;1386147;03.09.2019;0;0;123269
24;ABINSK;1386177;03.09.2019;0;0;130891
25;BLESSED TEXTILE;1393153;08.04.2019;0;0;129039
26;Salmmeir 1;1415409;15.09.2019;0;0;133716
27;Salmmeir 2;1415410;15.09.2019;0;0;133858
